date,cpi_index,rate,unemp,wage_real,hpi,mortgage,gdp_growth,usdils,eurils,cpi_yoy,cpi_yoy_clean,real_rate,rate_gap,rate_change_12m,real_wage_indexed,wage_growth_12m,hpi_total,hpi_total_indexed,hpi_growth_12m,affordability,fx_change_12m,fx_mom_pct,fx_volatility_12m,cpi_mom_pct,inflation_volatility_12m,cpi_gap,housing_loans_yoy,economic_stress_index,housing_pressure_index
2002-08-01,6.1764705882,9.1,,8461.5703125,,,,4.66,4.5878,6.1764705882,6.1764705882,2.9235294117999997,7.1,2.8,170.81932534961226,-8.636167797416904,,,,,9.338338808071335,-0.6184687566645364,2.6081900026734153,-10.264705883202863,38.79356467034911,4.1764705882,,0.6253969744929596,
2002-09-01,6.3600782779,9.1,,8472.923828125,,,,4.871,4.7996,6.3600782779,6.3600782779,2.7399217221,7.1,2.8,171.04852629078317,-7.7039355752115295,,,,,11.848450057405291,4.527896995708169,2.8036198268600656,2.972695928493163,37.81085509737435,4.3600782779,,0.7052915721780081,
2002-10-01,6.9403714565,9.1,,8317.9775390625,64.7269018917098,,-0.174862487,4.765,4.7002,6.9403714565,6.9403714565,2.1596285434999993,7.1,2.8,167.92052290777255,-9.234468743116741,64.7269018917098,100.91226359965428,-1.8886804512280642,166.40249353037782,11.305769679981314,-2.1761445288441927,2.8479763869632273,9.123994285045267,36.51280566260207,4.9403714565,,0.7025405492572419,-0.7880455207897474
2002-11-01,6.68633235,9.1,,8375.19921875,,,,4.643,4.607,6.68633235,6.68633235,2.41366765,7.1,3.3,169.07569486269333,-9.010610472718739,,,,,9.685802031656031,-2.5603357817418626,2.9700380342760595,-3.660309942950968,34.32349734288214,4.68633235,,0.8643055717426315,
2002-12-01,6.4960629921,8.9,,8388.80078125,,,,4.737,4.9696,6.4960629921,6.4960629921,2.4039370079000006,6.9,5.1000000000000005,169.35027861537083,-9.115645337244016,,,,,7.269021739130421,2.0245530906741305,2.7918747337718672,-2.845646132142987,34.447099115869655,4.4960629921,,1.1119618897167358,
2003-01-01,5.5520934761,8.9,,8355.2158203125,63.0965752680327,,5.7099300523,4.814,5.2075,5.5520934761,5.5520934761,3.3479065239000008,6.9,5.1000000000000005,168.67227676023504,-8.281648184509116,63.0965752680327,98.37050823683334,-6.931275544457827,171.46630609465353,4.606692742285956,1.6255013721764744,2.5814178843533395,-14.531409519088434,12.466236771200863,3.5520934760999996,,0.6960632533460992,-1.32662700757863
2003-02-01,5.1489855072,8.9,,8408.4501953125,,,,4.81,5.1727,5.1489855072,5.1489855072,3.7510144928000004,6.9,4.5,169.74695435399974,-6.046273851242123,,,,,4.044992429158545,-0.08309098462817577,2.585160617616859,-7.260467977263918,10.489460955190715,3.1489855072,,0.9077569574800223,
2003-03-01,4.8488461538,8.7,,8304.6015625,,,,4.687,5.1086,4.8488461538,4.8488461538,3.851153846199999,6.699999999999999,4.299999999999999,167.65049320785704,-5.086083594087021,,,,,0.4070265638389081,-2.557172557172549,2.70719139745007,-5.829096877050921,10.636934137471727,2.8488461538000003,,0.9174077518903284,
2003-04-01,3.0579545455,8.7,,8313.62890625,61.4495865149223,,-2.066090591,4.521,4.955,3.0579545455,3.0579545455,5.6420454545,6.699999999999999,4.1,167.83273417639165,-4.727693841401203,61.4495865149223,95.80277583589745,-9.014296337968686,175.18566942556635,-7.602697731453089,-3.541711115852364,2.4350470939080795,-36.93438709942352,14.47550390785293,1.0579545455,,0.7921716002289578,-1.5774666396973647
2003-05-01,1.5902439024,8.0,,8257.2392578125,,,,4.373,5.1765,1.5902439024,1.5902439024,6.4097560976,6.0,2.4000000000000004,166.69435898750197,-4.30484914744369,,,,,-11.04556550040684,-3.2736120327361173,2.5196810704902997,-47.99648331136386,18.681269376740357,-0.4097560976000001,,0.46801070044636944,
